date,sector_id,name,type,main_net_yi,turnover_yi,pct_chg,main_ratio,hotscore,life,up_cnt,down_cnt,fund_streak
2026-09-09,BK1340,印制电路板,行业,43.6,982.2,2.73,4.44,96.8,强化,43.0,5.0,1
2026-09-09,BK0459,元件,行业,49.63,1190.8,2.14,4.17,95.6,强势延续,49.0,18.0,1
2026-09-09,BK1409,激光设备,行业,21.7,224.9,3.64,9.65,94.8,强势延续,9.0,2.0,3
2026-09-09,BK0877,PCB,概念,98.45,2354.4,1.1,4.18,93.6,强化,119.0,80.0,3
2026-09-09,BK1136,光通信模块,概念,87.49,2537.7,0.66,3.45,92.8,强势延续,61.0,54.0,3
2026-09-09,BK1660,光纤概念,概念,64.9,1655.5,1.69,3.92,92.8,观察,59.0,20.0,3
2026-09-09,BK1482,航运,行业,10.71,136.2,3.48,7.86,92.4,强势延续,20.0,0,3
2026-09-09,BK1023,培育钻石,概念,7.91,197.1,2.85,4.01,92.3,强化,17.0,3.0,2
2026-09-09,BK1383,航海装备Ⅲ,行业,8.58,107.3,4.67,7.99,92.2,强势延续,10.0,0,1
2026-09-09,BK1230,航海装备Ⅱ,行业,8.58,107.3,4.67,7.99,92.2,强势延续,10.0,0,1
2026-09-09,BK0450,航运港口,行业,11.31,171.4,2.81,6.6,91.9,强势延续,37.0,0,3
2026-09-09,BK0623,海洋经济,概念,37.05,659.0,0.97,5.62,91.2,观察,68.0,42.0,1
2026-09-09,BK1128,CPO概念,概念,80.56,2350.6,0.21,3.43,90.7,强势延续,45.0,44.0,2
2026-09-09,BK0729,船舶制造,概念,8.11,125.1,1.89,6.48,90.3,强势延续,10.0,5.0,2
2026-09-09,BK1168,铜缆高速连接,概念,54.7,595.4,2.53,9.19,89.0,观察,28.0,11.0,1
2026-09-09,BK1397,磨具磨料,行业,3.68,117.8,2.53,3.12,88.1,强化,8.0,6.0,3
2026-09-09,BK1088,F5G概念,概念,37.87,797.6,0.43,4.75,87.7,形成,13.0,12.0,2
2026-09-09,BK1210,交通运输,行业,10.7,275.4,0.73,3.89,87.6,形成,78.0,43.0,2
2026-09-09,BK0448,通信设备,行业,51.01,1576.7,0.35,3.24,87.4,形成,40.0,50.0,2
2026-09-09,BK1443,橡胶助剂,行业,6.05,22.6,5.46,26.77,87.4,观察,2.0,0,1
2026-09-09,BK1592,通信线缆及配套,行业,44.95,511.7,4.98,8.78,87.3,观察,12.0,1.0,1
2026-09-09,BK1323,综合电力设备商,行业,2.71,25.4,2.76,10.7,87.1,强势延续,1.0,0,2
2026-09-09,BK1274,炼化及贸易,行业,3.5,110.2,0.84,3.17,86.5,强化,17.0,13.0,3
2026-09-09,BK1556,教育运营及其他,行业,1.08,14.6,6.03,7.4,86.4,高潮,2.0,0,3
2026-09-09,BK0855,纳米银,概念,5.78,83.5,2.36,6.93,86.3,观察,5.0,2.0,1
2026-09-09,BK1260,渔业,行业,1.04,24.0,2.82,4.33,85.8,强化,6.0,0,3
2026-09-09,BK1384,航空装备Ⅲ,行业,3.35,236.5,1.18,1.42,85.7,强化,34.0,14.0,3
2026-09-09,BK1231,航空装备Ⅱ,行业,3.35,236.5,1.18,1.42,85.7,强化,34.0,14.0,3
2026-09-09,BK0480,航天航空,概念,9.16,260.0,1.02,3.52,85.7,观察,34.0,21.0,1
2026-09-09,BK1513,海洋捕捞,行业,0.71,12.8,3.73,5.51,85.5,高潮,2.0,0,3
